序号,作物编号,作物名称,地块类型,种植季次,亩产量/斤,种植成本/(元/亩),销售单价下界/(元/斤),销售单价上界/(元/斤),销售单价均值/(元/斤)
1,1,黄豆,平旱地,1,400,400,2.5,4,3.25
2,2,黑豆,平旱地,1,500,400,6.5,8.5,7.5
3,3,红豆,平旱地,1,400,350,7.5,9,8.25
4,4,绿豆,平旱地,1,350,350,6,8,7
5,5,爬豆,平旱地,1,415,350,6,7.5,6.75
6,6,小麦,平旱地,1,800,450,3,4,3.5
7,7,玉米,平旱地,1,1000,500,2.5,3.5,3
8,8,谷子,平旱地,1,400,360,6,7.5,6.75
9,9,高粱,平旱地,1,630,400,5.5,6.5,6
10,10,黍子,平旱地,1,525,360,6.5,8.5,7.5
11,11,荞麦,平旱地,1,110,350,30,50,40
12,12,南瓜,平旱地,1,3000,1000,1,2,1.5
13,13,红薯,平旱地,1,2200,2000,2.5,4,3.25
14,14,莜麦,平旱地,1,420,400,5,6,5.5
15,15,大麦,平旱地,1,525,350,3,4,3.5
16,1,黄豆,梯田,1,380,400,2.5,4,3.25
17,2,黑豆,梯田,1,475,400,6.5,8.5,7.5
18,3,红豆,梯田,1,380,350,7.5,9,8.25
19,4,绿豆,梯田,1,330,350,6,8,7
20,5,爬豆,梯田,1,395,350,6,7.5,6.75
21,6,小麦,梯田,1,760,450,3,4,3.5
22,7,玉米,梯田,1,950,500,2.5,3.5,3
23,8,谷子,梯田,1,380,360,6,7.5,6.75
24,9,高粱,梯田,1,600,400,5.5,6.5,6
25,10,黍子,梯田,1,500,360,6.5,8.5,7.5
26,11,荞麦,梯田,1,105,350,30,50,40
27,12,南瓜,梯田,1,2850,1000,1,2,1.5
28,13,红薯,梯田,1,2100,2000,2.5,4,3.25
29,14,莜麦,梯田,1,400,400,5,6,5.5
30,15,大麦,梯田,1,500,350,3,4,3.5
31,1,黄豆,山坡地,1,360,400,2.5,4,3.25
32,2,黑豆,山坡地,1,450,400,6.5,8.5,7.5
33,3,红豆,山坡地,1,360,350,7.5,9,8.25
34,4,绿豆,山坡地,1,315,350,6,8,7
35,5,爬豆,山坡地,1,375,350,6,7.5,6.75
36,6,小麦,山坡地,1,720,450,3,4,3.5
37,7,玉米,山坡地,1,900,500,2.5,3.5,3
38,8,谷子,山坡地,1,360,360,6,7.5,6.75
39,9,高粱,山坡地,1,570,400,5.5,6.5,6
40,10,黍子,山坡地,1,475,360,6.5,8.5,7.5
41,11,荞麦,山坡地,1,100,350,30,50,40
42,12,南瓜,山坡地,1,2700,1000,1,2,1.5
43,13,红薯,山坡地,1,2000,2000,2.5,4,3.25
44,14,莜麦,山坡地,1,380,400,5,6,5.5
45,15,大麦,山坡地,1,475,350,3,4,3.5
46,16,水稻,水浇地,1,500,680,6,8,7
47,17,豇豆,水浇地,1,3000,2000,7,9,8
48,18,刀豆,水浇地,1,2000,1000,5.5,8,6.75
49,19,芸豆,水浇地,1,3000,2000,5,8,6.5
50,20,土豆,水浇地,1,2000,2000,3,4.5,3.75
51,21,西红柿,水浇地,1,2400,2000,5,7.5,6.25
52,22,茄子,水浇地,1,6400,2000,5,6,5.5
53,23,菠菜,水浇地,1,2700,2300,4.8,6.7,5.75
54,24,青椒,水浇地,1,2400,1600,4,6.5,5.25
55,25,菜花,水浇地,1,3300,2400,5,6,5.5
56,26,包菜,水浇地,1,3700,2900,5.5,7.5,6.5
57,27,油麦菜,水浇地,1,4100,1600,4,6,5
58,28,小青菜,水浇地,1,3200,1600,5,6.5,5.75
59,29,黄瓜,水浇地,1,12000,2900,6,8,7
60,30,生菜,水浇地,1,4100,1600,4.5,6,5.25
61,31,辣椒,水浇地,1,1600,1000,6,8.5,7.25
62,32,空心菜,水浇地,1,10000,4100,3,6,4.5
63,33,黄心菜,水浇地,1,5000,2000,4,5,4.5
64,34,芹菜,水浇地,1,5500,900,3.2,4.8,4
65,17,豇豆,普通大棚,1,3600,2400,7,9,8
66,18,刀豆,普通大棚,1,2400,1200,5.5,8,6.75
67,19,芸豆,普通大棚,1,3600,2400,5,8,6.5
68,20,土豆,普通大棚,1,2400,2400,3,4.5,3.75
69,21,西红柿,普通大棚,1,3000,2400,5,7.5,6.25
70,22,茄子,普通大棚,1,8000,2400,5,6,5.5
71,23,菠菜,普通大棚,1,3300,2700,4.8,6.7,5.75
72,24,青椒,普通大棚,1,3000,2000,4,6.5,5.25
73,25,菜花,普通大棚,1,4000,3000,5,6,5.5
74,26,包菜,普通大棚,1,4500,3500,5.5,7.5,6.5
75,27,油麦菜,普通大棚,1,5000,2000,4,6,5
76,28,小青菜,普通大棚,1,4000,2000,5,6.5,5.75
77,29,黄瓜,普通大棚,1,15000,3500,6,8,7
78,30,生菜,普通大棚,1,5000,2000,4.5,6,5.25
79,31,辣椒,普通大棚,1,2000,1200,6,8.5,7.25
80,32,空心菜,普通大棚,1,12000,5000,3,6,4.5
81,33,黄心菜,普通大棚,1,6000,2500,4,5,4.5
82,34,芹菜,普通大棚,1,6600,1100,3.2,4.8,4
83,35,大白菜,水浇地,2,5000,2000,2,3,2.5
84,36,白萝卜,水浇地,2,4000,500,2,3,2.5
85,37,红萝卜,水浇地,2,3000,500,2.5,4,3.25
86,38,榆黄菇,普通大棚,2,5000,3000,50,65,57.5
87,39,香菇,普通大棚,2,4000,2000,18,20,19
88,40,白灵菇,普通大棚,2,10000,10000,14,18,16
89,41,羊肚菌,普通大棚,2,1000,10000,80,120,100
90,17,豇豆,智慧大棚,2,3200,2640,8.4,10.8,9.6
91,18,刀豆,智慧大棚,2,2200,1320,6.6,9.6,8.1
92,19,芸豆,智慧大棚,2,3200,2640,6,9.6,7.8
93,20,土豆,智慧大棚,2,2200,2640,3.6,5.4,4.5
94,21,西红柿,智慧大棚,2,2700,2640,6,9,7.5
95,22,茄子,智慧大棚,2,7200,2640,6,7.2,6.6
96,23,菠菜,智慧大棚,2,3000,3000,5.8,8,6.9
97,24,青椒,智慧大棚,2,2700,2200,5.8,7.8,6.8
98,25,菜花,智慧大棚,2,3600,3300,6,7.2,6.6
99,26,包菜,智慧大棚,2,4100,3850,6.6,9,7.8
100,27,油麦菜,智慧大棚,2,4500,2200,4.8,7.2,6
101,28,小青菜,智慧大棚,2,3600,2200,6,7.8,6.9
102,29,黄瓜,智慧大棚,2,13500,3850,7.2,9.6,8.4
103,30,生菜,智慧大棚,2,4500,2200,5.4,7.2,6.3
104,31,辣椒,智慧大棚,2,1800,1300,7.2,10.2,8.7
105,32,空心菜,智慧大棚,2,11000,5500,3.6,7.2,5.4
106,33,黄心菜,智慧大棚,2,5400,2750,4.8,6,5.4
107,34,芹菜,智慧大棚,2,6000,1200,3.8,5.8,4.8
108,17,豇豆,智慧大棚,1,3600,2400,7,9,8
109,18,刀豆,智慧大棚,1,2400,1200,5.5,8,6.75
110,19,芸豆,智慧大棚,1,3600,2400,5,8,6.5
111,20,土豆,智慧大棚,1,2400,2400,3,4.5,3.75
112,21,西红柿,智慧大棚,1,3000,2400,5,7.5,6.25
113,22,茄子,智慧大棚,1,8000,2400,5,6,5.5
114,23,菠菜,智慧大棚,1,3300,2700,4.8,6.7,5.75
115,24,青椒,智慧大棚,1,3000,2000,4,6.5,5.25
116,25,菜花,智慧大棚,1,4000,3000,5,6,5.5
117,26,包菜,智慧大棚,1,4500,3500,5.5,7.5,6.5
118,27,油麦菜,智慧大棚,1,5000,2000,4,6,5
119,28,小青菜,智慧大棚,1,4000,2000,5,6.5,5.75
120,29,黄瓜,智慧大棚,1,15000,3500,6,8,7
121,30,生菜,智慧大棚,1,5000,2000,4.5,6,5.25
122,31,辣椒,智慧大棚,1,2000,1200,6,8.5,7.25
123,32,空心菜,智慧大棚,1,12000,5000,3,6,4.5
124,33,黄心菜,智慧大棚,1,6000,2500,4,5,4.5
125,34,芹菜,智慧大棚,1,6600,1100,3.2,4.8,4
