作物编号,作物名称,作物类型,平旱地,梯田,山坡地,水浇地1,普通大棚1,智慧大棚1,水浇地2,普通大棚2,智慧大棚2
1,黄豆,粮食（豆类）,1,1,1,0,0,0,0,0,0
2,黑豆,粮食（豆类）,1,1,1,0,0,0,0,0,0
3,红豆,粮食（豆类）,1,1,1,0,0,0,0,0,0
4,绿豆,粮食（豆类）,1,1,1,0,0,0,0,0,0
5,爬豆,粮食（豆类）,1,1,1,0,0,0,0,0,0
6,小麦,粮食,1,1,1,0,0,0,0,0,0
7,玉米,粮食,1,1,1,0,0,0,0,0,0
8,谷子,粮食,1,1,1,0,0,0,0,0,0
9,高粱,粮食,1,1,1,0,0,0,0,0,0
10,黍子,粮食,1,1,1,0,0,0,0,0,0
11,荞麦,粮食,1,1,1,0,0,0,0,0,0
12,南瓜,粮食,1,1,1,0,0,0,0,0,0
13,红薯,粮食,1,1,1,0,0,0,0,0,0
14,莜麦,粮食,1,1,1,0,0,0,0,0,0
15,大麦,粮食,1,1,1,0,0,0,0,0,0
16,水稻,粮食,0,0,0,1,0,0,0,0,0
17,豇豆,蔬菜（豆类）,0,0,0,1,1,1,0,0,1
18,刀豆,蔬菜（豆类）,0,0,0,1,1,1,0,0,1
19,芸豆,蔬菜（豆类）,0,0,0,1,1,1,0,0,1
20,土豆,蔬菜,0,0,0,1,1,1,0,0,1
21,西红柿,蔬菜,0,0,0,1,1,1,0,0,1
22,茄子,蔬菜,0,0,0,1,1,1,0,0,1
23,菠菜,蔬菜,0,0,0,1,1,1,0,0,1
24,青椒,蔬菜,0,0,0,1,1,1,0,0,1
25,菜花,蔬菜,0,0,0,1,1,1,0,0,1
26,包菜,蔬菜,0,0,0,1,1,1,0,0,1
27,油麦菜,蔬菜,0,0,0,1,1,1,0,0,1
28,小青菜,蔬菜,0,0,0,1,1,1,0,0,1
29,黄瓜,蔬菜,0,0,0,1,1,1,0,0,1
30,生菜,蔬菜,0,0,0,1,1,1,0,0,1
31,辣椒,蔬菜,0,0,0,1,1,1,0,0,1
32,空心菜,蔬菜,0,0,0,1,1,1,0,0,1
33,黄心菜,蔬菜,0,0,0,1,1,1,0,0,1
34,芹菜,蔬菜,0,0,0,1,1,1,0,0,1
35,大白菜,蔬菜,0,0,0,0,0,0,1,0,0
36,白萝卜,蔬菜,0,0,0,0,0,0,1,0,0
37,红萝卜,蔬菜,0,0,0,0,0,0,1,0,0
38,榆黄菇,食用菌,0,0,0,0,0,0,0,1,0
39,香菇,食用菌,0,0,0,0,0,0,0,1,0
40,白灵菇,食用菌,0,0,0,0,0,0,0,1,0
41,羊肚菌,食用菌,0,0,0,0,0,0,0,1,0
