年份,季度,地块名,地块id,黄豆,黑豆,红豆,绿豆,爬豆,小麦,玉米,谷子,高粱,黍子,荞麦,南瓜,红薯,莜麦,大麦,水稻,豇豆,刀豆,芸豆,土豆,西红柿,茄子,菠菜,青椒,菜花,包菜,油麦菜,小青菜,黄瓜,生菜,辣椒,空心菜,黄心菜,芹菜,大白菜,白萝卜,红萝卜,榆黄菇,香菇,白灵菇,羊肚菌,种植上限
2023,1,A1,1,400.0,400.0,350.0,350.0,350.0,450.0,500.0,360.0,400.0,360.0,350.0,1000.0,2000.0,400.0,350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0
2023,1,A2,2,400.0,400.0,350.0,350.0,350.0,450.0,500.0,360.0,400.0,360.0,350.0,1000.0,2000.0,400.0,350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0
2023,1,A3,3,400.0,400.0,350.0,350.0,350.0,450.0,500.0,360.0,400.0,360.0,350.0,1000.0,2000.0,400.0,350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0
2023,1,A4,4,400.0,400.0,350.0,350.0,350.0,450.0,500.0,360.0,400.0,360.0,350.0,1000.0,2000.0,400.0,350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0
2023,1,A5,5,400.0,400.0,350.0,350.0,350.0,450.0,500.0,360.0,400.0,360.0,350.0,1000.0,2000.0,400.0,350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0
2023,1,A6,6,400.0,400.0,350.0,350.0,350.0,450.0,500.0,360.0,400.0,360.0,350.0,1000.0,2000.0,400.0,350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0
2023,1,B1,7,400.0,400.0,350.0,350.0,350.0,450.0,500.0,360.0,400.0,360.0,350.0,1000.0,2000.0,400.0,350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0
2023,1,B2,8,400.0,400.0,350.0,350.0,350.0,450.0,500.0,360.0,400.0,360.0,350.0,1000.0,2000.0,400.0,350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0
2023,1,B3,9,400.0,400.0,350.0,350.0,350.0,450.0,500.0,360.0,400.0,360.0,350.0,1000.0,2000.0,400.0,350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0
2023,1,B4,10,400.0,400.0,350.0,350.0,350.0,450.0,500.0,360.0,400.0,360.0,350.0,1000.0,2000.0,400.0,350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0
2023,1,B5,11,400.0,400.0,350.0,350.0,350.0,450.0,500.0,360.0,400.0,360.0,350.0,1000.0,2000.0,400.0,350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0
