年份,季度,黄豆,黑豆,红豆,绿豆,爬豆,小麦,玉米,谷子,高粱,黍子,荞麦,南瓜,红薯,莜麦,大麦,水稻,豇豆,刀豆,芸豆,土豆,西红柿,茄子,菠菜,青椒,菜花,包菜,油麦菜,小青菜,黄瓜,生菜,辣椒,空心菜,黄心菜,芹菜,大白菜,白萝卜,红萝卜,榆黄菇,香菇,白灵菇,羊肚菌
2023,1,53689.57286432161,21677.319932998325,16028.09882747069,25443.467336683418,27326.54103852596,56336.93624850332,57200.36786823328,50724.63072025855,52019.7781498535,49429.48329066361,0.0,59790.66272742317,56768.6520583683,52883.20976958346,56336.93624850332,50292.91491039357,759236733.8196647,15299.669551534214,11390.936270653008,50115.61674364305,6521.905655446419,19600.018981905407,15240.647873085734,23959.390090725065,19600.018981905407,2162.5345466267463,28318.761199544722,15240.647873085734,0.0,23959.390090725065,0.0,37037.50341718405,37037.50341718405,45756.24563482338,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71912.47228774136,71912.47228774136,58834.35896128237,8622.697090426176,12636.154372409354,12948.891303472978,4192.2572336915
2024,1,53689.57286432161,21677.319932998325,16028.09882747069,25443.467336683418,27326.54103852596,56336.93624850332,57200.36786823328,50724.63072025855,52019.7781498535,49429.48329066361,0.0,59790.66272742317,56768.6520583683,52883.20976958346,56336.93624850332,50292.91491039357,748436977.3146929,20576.45948072383,16472.28953579857,46846.0884120283,1072.6917694218282,14804.710762203773,10227.371097943134,19382.05042646441,14804.710762203773,0.0,23959.390090725065,10227.371097943134,0.0,19382.05042646441,0.0,33114.06941924637,33114.06941924637,42268.74874776765,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69732.78673333154,69732.78673333154,56000.76774054959,8785.137864702807,12689.83045434424,12994.09221457604,4713.485452130873
2025,1,53689.57286432161,21677.319932998325,16028.09882747069,25443.467336683418,27326.54103852596,56336.93624850332,57200.36786823328,50724.63072025855,52019.7781498535,49429.48329066361,0.0,59790.66272742317,56768.6520583683,52883.20976958346,56336.93624850332,50292.91491039357,737097232.9844726,26117.088906372926,21807.710464201402,43413.083663832804,0.0,9769.637131517069,4963.430484043376,14575.843778990748,9769.637131517069,0.0,19382.05042646441,4963.430484043376,0.0,14575.843778990748,0.0,28994.463721411783,28994.463721411783,38606.877016359125,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67444.1169012012,67444.1169012012,53025.496958780175,8940.907178397523,12741.302053652058,13037.436719256308,5208.652259648277
2026,1,53689.57286432161,21677.319932998325,16028.09882747069,25443.467336683418,27326.54103852596,56336.93624850332,57200.36786823328,50724.63072025855,52019.7781498535,49429.48329066361,0.0,59790.66272742317,56768.6520583683,52883.20976958346,56336.93624850332,50292.91491039357,725190501.4377414,31934.749803304483,27409.902439024387,39808.42867822756,0.0,4482.809819296017,0.0,9529.326799143382,4482.809819296017,0.0,14575.843778990748,0.0,0.0,9529.326799143382,0.0,24668.877738685464,24668.877738685464,34761.911698380194,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65041.01357746437,65041.01357746437,49901.462637922275,9078.89300360739,12786.897369808363,13075.83277496688,5679.060726789812
2027,1,53689.57286432161,21677.319932998325,16028.09882747069,25443.467336683418,27326.54103852596,56336.93624850332,57200.36786823328,50724.63072025855,52019.7781498535,49429.48329066361,0.0,59790.66272742317,56768.6520583683,52883.20976958346,56336.93624850332,50292.91491039357,712688433.3136734,38043.29375290008,33292.20401258851,36023.54093462329,0.0,0.0,0.0,4230.483961584905,0.0,0.0,9529.326799143382,0.0,0.0,4230.483961584905,0.0,20127.012456822835,20127.012456822835,30724.698114502302,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2027,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62517.75508754069,62517.75508754069,46621.22659230276,9223.00244935281,12834.5161429041,13115.932794525655,6125.94877057427
