年份,季度,黄豆,黑豆,红豆,绿豆,爬豆,小麦,玉米,谷子,高粱,黍子,荞麦,南瓜,红薯,莜麦,大麦,水稻,豇豆,刀豆,芸豆,土豆,西红柿,茄子,菠菜,青椒,菜花,包菜,油麦菜,小青菜,黄瓜,生菜,辣椒,空心菜,黄心菜,芹菜,大白菜,白萝卜,红萝卜,榆黄菇,香菇,白灵菇,羊肚菌
2023,1,3.25,7.5,8.25,7,6.75,3.5,3,6.75,6,7.5,40,1.5,3.25,5.5,3.5,7,8,6.75,6.5,3.75,6.25,5.5,5.75,5.25,5.5,6.5,5,5.75,7,5.25,7.25,4.5,4.5,4,0,0,0,0,0,0,0
2023,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,2.5,3.25,57.5,19,16,100
2024,1,3.25,7.5,8.25,7,6.75,3.5,3,6.75,6,7.5,40,1.5,3.25,5.5,3.5,7,8.4,7.0875,6.825,3.9375,6.5625,5.775,6.0375,5.5125,5.775,6.825,5.25,6.0375,7.35,5.5125,7.6125,4.725,4.725,4.2,0,0,0,0,0,0,0
2024,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.625,2.625,3.4125,55.94175,18.4851,15.5664,95
2025,1,3.25,7.5,8.25,7,6.75,3.5,3,6.75,6,7.5,40,1.5,3.25,5.5,3.5,7,8.82,7.441875,7.16625,4.134375,6.890625,6.06375,6.339375,5.788125,6.06375,7.16625,5.5125,6.339375,7.7175,5.788125,7.993125,4.96125,4.96125,4.41,0,0,0,0,0,0,0
2025,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.75625,2.75625,3.583125,54.4474975,17.991347,15.150608,90.25
2026,1,3.25,7.5,8.25,7,6.75,3.5,3,6.75,6,7.5,40,1.5,3.25,5.5,3.5,7,9.261,7.81396875,7.5245625,4.34109375,7.23515625,6.3669375,6.65634375,6.07753125,6.3669375,7.5245625,5.788125,6.65634375,8.103375,6.07753125,8.39278125,5.2093125,5.2093125,4.6305,0,0,0,0,0,0,0
2026,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8940625,2.8940625,3.76228125,53.12383715,17.55396358,14.78228512,85.7375
2027,1,3.25,7.5,8.25,7,6.75,3.5,3,6.75,6,7.5,40,1.5,3.25,5.5,3.5,7,9.72405,8.204667188,7.900790625,4.558148438,7.596914063,6.685284375,6.989160938,6.381407813,6.685284375,7.900790625,6.07753125,6.989160938,8.50854375,6.381407813,8.812420313,5.469778125,5.469778125,4.862025,0,0,0,0,0,0,0
2027,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.038765625,3.038765625,3.950395313,51.74143458,17.09716969,14.39761658,81.450625
2028,1,3.25,7.5,8.25,7,6.75,3.5,3,6.75,6,7.5,40,1.5,3.25,5.5,3.5,7,10.2102525,8.614900547,8.295830156,4.786055859,7.976759766,7.019548594,7.338618984,6.700478203,7.019548594,8.295830156,6.381407813,7.338618984,8.933970938,6.700478203,9.253041328,5.743267031,5.743267031,5.10512625,0,0,0,0,0,0,0
2028,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.190703906,3.190703906,4.147915078,50.37910825,16.64700968,14.01853447,77.37809375
2029,1,3.25,7.5,8.25,7,6.75,3.5,3,6.75,6,7.5,40,1.5,3.25,5.5,3.5,7,10.72076513,9.045645574,8.710621664,5.025358652,8.375597754,7.370526023,7.705549934,7.035502113,7.370526023,8.710621664,6.700478203,7.705549934,9.380669484,7.035502113,9.715693395,6.030430383,6.030430383,5.360382563,0,0,0,0,0,0,0
2029,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.350239102,3.350239102,4.355310832,49.21195067,16.26134022,13.69376019,73.50918906
2030,1,3.25,7.5,8.25,7,6.75,3.5,3,6.75,6,7.5,40,1.5,3.25,5.5,3.5,7,11.25680338,9.497927853,9.146152747,5.276626585,8.794377642,7.739052325,8.09082743,7.387277219,7.739052325,9.146152747,7.035502113,8.09082743,9.849702959,7.387277219,10.20147806,6.331951902,6.331951902,5.628401691,0,0,0,0,0,0,0
2030,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.517751057,3.517751057,4.573076374,47.96090321,15.84795063,13.34564263,69.83372961
