年份,季度,黄豆,黑豆,红豆,绿豆,爬豆,小麦,玉米,谷子,高粱,黍子,荞麦,南瓜,红薯,莜麦,大麦,水稻,豇豆,刀豆,芸豆,土豆,西红柿,茄子,菠菜,青椒,菜花,包菜,油麦菜,小青菜,黄瓜,生菜,辣椒,空心菜,黄心菜,芹菜,大白菜,白萝卜,红萝卜,榆黄菇,香菇,白灵菇,羊肚菌
2023,1,57000.0,21850.0,22400.0,33040.0,9875.0,170840.0,132750.0,71400.0,30000.0,12500.0,1500.0,35100.0,36000.0,14000.0,10000.0,21000.0,36480.0,26880.0,6480.0,30000.0,35400.0,43200.0,0.0,1800.0,3600.0,4050.0,4500.0,34400.0,9000.0,1500.0,1200.0,3600.0,1800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,810.0,2160.0,900.0,810.0,0.0,0.0,0.0,1080.0,4050.0,1350.0,0.0,0.0,0.0,1800.0,150000.0,100000.0,36000.0,9000.0,7200.0,18000.0,4200.0
2024,1,56861.24,21796.81,22345.47,32959.57,9850.96,184203.65,143134.13,71558.62,30066.65,12527.77,1503.33,35177.98,36079.98,14031.1,10022.22,21046.65,36561.04,26939.71,6494.4,30066.65,35478.64,43295.97,0.0,1804.0,3608.0,4059.0,4510.0,34476.42,9019.99,1503.33,1202.67,3608.0,1804.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,811.8,2164.8,902.0,811.8,0.0,0.0,0.0,1082.4,4059.0,1353.0,0.0,0.0,0.0,1804.0,150333.23,100222.15,36079.98,9019.99,7216.0,18039.99,4209.33
2025,1,56940.71,21827.27,22376.7,33005.63,9864.73,198733.31,154424.3,71421.75,30009.14,12503.81,1500.46,35110.69,36010.97,14004.27,10003.05,21006.4,36491.12,26888.19,6481.97,30009.14,35410.79,43213.16,0.0,1800.55,3601.1,4051.23,4501.37,34410.48,9002.74,1500.46,1200.37,3601.1,1800.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,810.25,2160.66,900.27,810.25,0.0,0.0,0.0,1080.33,4051.23,1350.41,0.0,0.0,0.0,1800.55,150045.7,100030.47,36010.97,9002.74,7202.19,18005.48,4201.28
2026,1,56884.04,21805.55,22354.43,32972.79,9854.91,214538.4,166705.53,71358.55,29982.58,12492.74,1499.13,35079.62,35979.1,13991.87,9994.19,20987.81,36458.82,26864.39,6476.24,29982.58,35379.45,43174.92,0.0,1798.95,3597.91,4047.65,4497.39,34380.03,8994.77,1499.13,1199.3,3597.91,1798.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,809.53,2158.75,899.48,809.53,0.0,0.0,0.0,1079.37,4047.65,1349.22,0.0,0.0,0.0,1798.95,149912.91,99941.94,35979.1,8994.77,7195.82,17989.55,4197.56
2027,1,56934.42,21824.86,22374.23,33001.99,9863.64,231739.23,180071.31,71504.22,30043.79,12518.25,1502.19,35151.23,36052.55,14020.44,10014.6,21030.65,36533.25,26919.24,6489.46,30043.79,35451.67,43263.06,0.0,1802.63,3605.25,4055.91,4506.57,34450.21,9013.14,1502.19,1201.75,3605.25,1802.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2027,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,811.18,2163.15,901.31,811.18,0.0,0.0,0.0,1081.58,4055.91,1351.97,0.0,0.0,0.0,1802.63,150218.95,100145.97,36052.55,9013.14,7210.51,18026.27,4206.13
2028,1,56866.58,21798.86,22347.57,32962.67,9851.89,250468.11,194624.45,71251.7,29937.69,12474.04,1496.88,35027.1,35925.23,13970.92,9979.23,20956.38,36404.23,26824.17,6466.54,29937.69,35326.47,43110.27,0.0,1796.26,3592.52,4041.59,4490.65,34328.55,8981.31,1496.88,1197.51,3592.52,1796.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2028,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,808.32,2155.51,898.13,808.32,0.0,0.0,0.0,1077.76,4041.59,1347.2,0.0,0.0,0.0,1796.26,149688.45,99792.3,35925.23,8981.31,7185.05,17962.61,4191.28
2029,1,56973.12,21839.69,22389.44,33024.42,9870.34,270870.63,210478.08,71394.88,29997.85,12499.1,1499.89,35097.49,35997.42,13999.0,9999.28,20998.5,36477.39,26878.07,6479.54,29997.85,35397.46,43196.9,0.0,1799.87,3599.74,4049.71,4499.68,34397.54,8999.36,1499.89,1199.91,3599.74,1799.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2029,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,809.94,2159.85,899.94,809.94,0.0,0.0,0.0,1079.92,4049.71,1349.9,0.0,0.0,0.0,1799.87,149989.25,99992.84,35997.42,8999.36,7199.48,17998.71,4199.7
2030,1,56830.37,21784.98,22333.34,32941.68,9845.61,293107.03,227756.72,71442.14,30017.71,12507.38,1500.89,35120.72,36021.25,14008.26,10005.9,21012.39,36501.53,26895.87,6483.82,30017.71,35420.89,43225.5,0.0,1801.06,3602.12,4052.39,4502.66,34420.3,9005.31,1500.89,1200.71,3602.12,1801.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,810.48,2161.27,900.53,810.48,0.0,0.0,0.0,1080.64,4052.39,1350.8,0.0,0.0,0.0,1801.06,150088.53,100059.02,36021.25,9005.31,7204.25,18010.62,4202.48
